date,cash,position_value,mkt_value
2025-07-02,82011.0,16181.0,98192.0
2025-07-03,82011.0,16512.0,98523.0
2025-07-07,82011.0,16442.0,98453.0
2025-07-08,82011.0,16314.0,98325.0
2025-07-09,82011.0,16496.0,98507.0
2025-07-10,82011.0,16363.0,98374.0
2025-07-11,82011.0,16280.0,98291.0
2025-07-14,82011.0,16492.0,98503.0
2025-07-15,82011.0,16748.0,98759.0
2025-07-16,82011.0,16699.0,98710.0
2025-07-17,82011.0,17124.0,99135.0
2025-07-18,82011.0,17144.0,99155.0
2025-07-21,82011.0,17326.0,99337.0
2025-07-22,82011.0,16929.0,98940.0
2025-07-23,82011.0,16980.0,98991.0
2025-07-24,82011.0,17053.0,99064.0
2025-07-25,82011.0,17079.0,99090.0
2025-07-28,82011.0,17220.0,99231.0
2025-07-29,82011.0,16925.0,98936.0
2025-07-30,82011.0,17061.0,99072.0
2025-07-31,99546.0,0.0,99546.0
2025-08-01,86141.0,13182.0,99323.0
2025-08-04,86141.0,13523.0,99664.0
2025-08-05,86141.0,13344.0,99485.0
2025-08-06,86141.0,13663.0,99804.0
2025-08-07,86141.0,13679.0,99820.0
2025-08-08,86141.0,13753.0,99894.0
2025-08-11,86141.0,13687.0,99828.0
2025-08-12,86141.0,14135.0,100276.0
2025-08-13,86141.0,14048.0,100189.0
2025-08-14,86141.0,13929.0,100070.0
2025-08-15,86141.0,13521.0,99662.0
2025-08-18,86141.0,13623.0,99764.0
2025-08-19,86141.0,13117.0,99258.0
2025-08-20,86141.0,12845.0,98986.0
2025-08-21,86141.0,12868.0,99009.0
2025-08-22,86141.0,13268.0,99409.0
2025-08-25,86141.0,13463.0,99604.0
2025-08-26,86141.0,13610.0,99751.0
2025-08-27,86141.0,13664.0,99805.0
2025-08-28,86141.0,13953.0,100094.0
2025-08-29,99552.0,0.0,99552.0
2025-09-02,87646.0,12210.0,99856.0
2025-09-03,87646.0,12399.0,100045.0
2025-09-04,87646.0,12567.0,100213.0
2025-09-05,87646.0,12501.0,100147.0
2025-09-08,87646.0,12704.0,100350.0
2025-09-09,87646.0,12772.0,100418.0
2025-09-10,87646.0,13015.0,100661.0
2025-09-11,87646.0,13081.0,100727.0
2025-09-12,87646.0,13167.0,100813.0
2025-09-15,87646.0,13526.0,101172.0
2025-09-16,87646.0,13572.0,101218.0
2025-09-17,87646.0,13509.0,101155.0
2025-09-18,87646.0,13802.0,101448.0
2025-09-19,87646.0,13942.0,101588.0
2025-09-22,87646.0,14152.0,101798.0
2025-09-23,87646.0,13994.0,101640.0
2025-09-24,87646.0,13863.0,101509.0
2025-09-25,87646.0,13966.0,101612.0
2025-09-26,87646.0,14033.0,101679.0
2025-09-29,87646.0,14027.0,101673.0
2025-09-30,101633.0,0.0,101633.0
2025-10-01,80419.0,21487.0,101906.0
2025-10-02,80419.0,21453.0,101872.0
2025-10-03,80419.0,21264.0,101683.0
